"Title","Content","Rating"
"Excellent","I can't recommend Shogun enough! This is one of those rare shows that's a must watch. It takes place in Japan during the 1600' where Lord Yoshii Torango is turned on by Council of Regents and they try to kill him and his people. Then he finds a mysterious European ship marooned with its crew in a nearby village and everything changes from what he finds on it. This series has the look and feel of a blockbuster movie. Its world building, character development and attention to detail is as good as anything you'll see in tv. FX usually does a great job with its shows and Shogun is no different. I'll be shocked if this isn't nominated for several awards.",10
"An amazing television achievement but different from the book","This is stunning television. The costumes, the sets, the historic period acting are all phenomenal. This show simply oozes dedication to detail and money. So with just two episodes in I can say that this will hook you almost immediately and for fans of Japan and its ancient culture it is almost a must-see.Knowing the book the casting is near pitch-perfect or at least close enough to it. Maybe Lady Mariko doesn't look as I imagined her from the book but the actress still delivers a good performance and I am deeply appreciative of this show for making a worthy effort to depict the vast and intricate world of James Clavell's masterful historic novel.However, maybe the book is too big to fit into the confined space of a TV series. For obvious reasons the showrunners had to rush through so much that is explained and described in detail in the book. In order to do the book justice it would have taken almost two seasons of television to show the story of John Blackthorne before he even reaches Osaka. Much of the underlying conflicts and the delicate web of diplomacy and intrigue the main characters have to navigate are cut short in the TV show. There also is a weird shift in perspective which strays from the book. Whereas the involvement of Portuguese foreigners in the politics of early 17th century Japan is treated as just another aspect in a mostly internal Japanese power struggle, the TV show almost sets the Portuguese up as the main antagonists of the show during its first two episodes. I hope the shows swings back to the Japan-centric story it is meant to be.Bottom line: This is great television but I recommend reading the book eventually.",9
"Best thing I've seen for a long time","When I saw the title on the Disney channel I assume it's one of those mock Asian war drama we always see on the screen with fake mock Asian token actors like we always see. I can not be more wrong. The richness in characters is built on real Japanese actors who are world class actors in the film/Tv industry and the depiction of the religious and political tension is something I have not seen on a main stream service for long time. Not to mention how rare we get to hear Japanese spoken with majority of the air time on an English language channel. This authentic Japanese/Englsih drama is exceptionally well made and has the potential to lead the white audience into a new realm of Asian western fusion genre. I expect some awards to be won shortly.",10
"Amazing series","Everything is just spot on with this series!I get that Americans aren't used to reading subtitles, but come on. So what if the series is mostly in Japanese? It's about an English man stuck in Japan in the 17th century. Why wouldn't it be in Japanese?The acting, staging, camera shots, editing, direction - everything is 10 out of 10.I rarely give a 10 after just two episodes, but this is an amazing series. I rarely give anything a ten. This is probably one of the best series I've seen the last ten years.Mark my words - this'll get an Emmy for sure! If you haven't watched it, be sure to do. It's exciting, full of history and just a gem to watch.",9
"Award winning","I was eagerly awaiting the new Shogun series, especially as a fan of the original series featuring Richard Chamberlain. This reboot surpasses its predecessor with a richer focus on Japanese characters, enhancing the drama significantly. While most of the cast delivered outstanding performances, Cosmo Jarvis seemed somewhat stiff and lacked emotional depth in his role as the Englishman who unexpectedly sails to Japan. Anna Sawai stands out exceptionally as the interpreter who falls for the Englishman, showcasing her acting prowess, particularly in the final two episodes. The storyline adeptly portrays Lord Toranaga's cunning strategies to ascend as Japan's leader while avoiding war. Jarvis's role as the Anjin serves as a cultural bridge for the audience. Shogun is a strong contender for numerous awards this year. Impressively executed.",8
"Toranagasama isn't worthy","In this 10-episode series we are led to side with the character of Toranaga, a Japanese lord whose life, and the life of everyone in his corner, is at risk at the hands of the other ruling regents. The way the show depicts Toranaga at first is the classic take on a strongwilled man, who is vilified because he is too much of a risk to the remainder of the ruling parties. The five men were supposed to rule in unison until the king comes of age, however, one man seems to go against the will of the other four and therefore is persecuted. We are led to believe that the four regents are the vile and egoistical ones, giving in to greed and foreign christian influence over the wellbeing of their own people. Lord Toranaga, on the other hand, supposedly goes against this, wishing to survive and bring prosperity with his vision.This carefully crafted image shatters in the last minutes of episode 8 and subsequently in ep 10. The man plays the underdog, pretends he is ready to give up so that his followers are all the more riled up and urge him to fight on. He gaslights his generals into signing an agreement to give up, he has his most trusted advisor and lifelong friend commit seppuku as part of his plan. He sacrifices lady Mariko into giving her life to him as well, so that he can free hostages who are on his side and manipulate the king's mother into assisting him. He then orders for the Anjin's ship to be burned and tortures the whole village, killing innocent people, pretending to be looking for the culprits of the burning, all as a twisted test to see how the Anjin would behave. He claims to be humble, to be ready to sacrifice himself for the good of the realm. He is not. He is ruthless, trecherous, absolutely obsessed with power, holding human life in no regard, killing people at whim. And the worst of it all, he will kill off anyone in his circle, be it his loyalists or regular villagers, just to prove a point. There is nothing noble about this man.This series leaves you wondering whether you have been rooting for the wrong side all along and feeling that all of this 10-hour investment has been wasted. Especially that, after you learn of Toranaga's villainy, there is absolutely no follow up to see how the other characters react to this man having his way and what the fallout of all this is to the general people.",10
"Brilliant !","This was a most waiting tv series for 2024! And it is true! The two first episodes were just perfect! Mr Sanada is perfect to his role as lord toranaga as perfect are the two allies ( blackthorne and mariko)!We have a short story at the beginning to understand the culture of feudal japan at 1590 as the teaser trailer released two weeks ago !Customs , cgi , has many details ( shoes , helmets, armor, etc) as it was at 1600 bc at feudal japan !Story is writen on japan culture as well!So far so perfect! Its truly based to james clavel novel more than 80s series ! Waiting for the next episodes to see !",9
"Finally, something authentic and worth watching","With only 2 episodes out so far, I find this show to be really well done whether or not you have read the book or saw the 1980 mini-series with Richard Chamberlain. Hiroyuki Sanada is one of my favourite actors and his performance, as well as the other cast members is superb. The show is very authentic looking and most of the dialogue is in Japanese, which really adds to the atmosphere and gives you a sense of being in 1600s Japan. Except for one scene (IMHO), the cinematography is really good. Unlike the 1980 series, there is a darker ""feel"" which better portrays what was going on at that time. Looking forward to seeing the rest of the series.",7
"Worth a watch but could've been better","Shogun is everything I hoped it would be and more. I've been looking forward to this ever since I first heard about it. I thought my expectations were going to be too much and it'd be somewhat of a let down but it wasn't. It was everything I'd hoped it would be and more. I love this kind of genre. This premise kind of looked like The Last Samurai movie with Tom Cruise and I loved that movie as well. The story is told from the perspective of a British hero named John Blackthorne as he helps Lord Torango in his war. This series just pulls you into their world and doesn't let go and you don't want it to. It's gotten nothing but great reviews and currently has a 100% on Rotten Tomatoes. It was also just rightfully nominated for a bunch of Emmy's including Best Drama, Best Actor (Hiroyuki Sanada), Best Actress (Anna Sawai), Best Supporting Actor (Takehiro Hira & Tadanobu Asano) & Outstanding Guest Actor (Néstor Carbonell). I've literally enjoyed every second of this and can't wait for the seasons 2 and 3!",5
"They come to talk, and die, and talk some more","I have fond memories of the series from the 80's.This started very impressively from every perspective. My partner became so fascinated by it that he read the book super quickly.But after around the 3rd episode my patience ran very thin.All the visual aspects of the show are incredibly authentic and impressive. What let the show down for me is the way the story is told.Japan is portrayed as a massive death cult. People die at the drop of a hat to defend someone else's honour / face or whatever. With 10 hours of screen time you thought they might have time to portray some interesting / fun aspects of life at the time. But all you ever see is the ways people are killed or kill themselves, and a bunch of selfish old men wanting the power for it's own sake while being depressed about it. From what I remember GOT is like that too , that's why I stopped watching early in series 2. But remembering the 80's series and knowing this won't run to 7 seasons I persevered.My partner said the book doesn't tell it like that at all. In fact so many storylines have been altered that it makes very little dramatic sense. Towards the end it's just talk and talk. It seems the producers wanted to avoid any big battle scene at all costs, so the characters just talk about how it all ends.The Blackthorn character seems to understand no Japanese one minute, and totally fluent another. This especially when his translator is gone is very baffling.For all it's flaws the old series afforded some satisfaction when it ended. This just left me scratching my head.",8
